GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0000082	G1/S transition of mitotic cell cycle	3.60e-02	3.60e-02	1	ACVR1B,TP53,EGFR,CDKN2A,ATM,PTEN
GO:1901990	regulation of mitotic cell cycle phase transition	4.42e-02	4.42e-02	1	APC,TP53,EGFR,CDKN2A,ATM,PTEN
GO:0035265	organ growth	1.43e-02	1.43e-02	1	FGFR3,NOTCH1,PTEN,ERBB4
GO:0002520	immune system development	3.67e-02	3.67e-02	1	POLQ,MECOM,ACVR1B,CDKN2A,NOTCH1,ATM,TET2,MTOR
GO:0018209	peptidyl-serine modification	3.60e-02	3.60e-02	1	TAF1,ATM,NSD1,ATR,LRRK2,MTOR
GO:0018105	peptidyl-serine phosphorylation	2.82e-02	2.82e-02	1	TAF1,ATM,NSD1,ATR,LRRK2,MTOR
GO:0051338	regulation of transferase activity	1.44e-04	1.44e-04	1	FGFR3,MAP3K1,PPP2R1A,PDGFRA,APC,TP53,EGFR,CDKN2A,ATM,CDK12,PTEN,ERBB4,LRRK2,NF1
GO:0051348	negative regulation of transferase activity	3.59e-02	3.59e-02	1	PPP2R1A,APC,TP53,CDKN2A,ATM,PTEN,NF1
GO:0043549	regulation of kinase activity	1.55e-03	1.55e-03	1	FGFR3,MAP3K1,PPP2R1A,PDGFRA,APC,EGFR,CDKN2A,CDK12,PTEN,ERBB4,LRRK2,NF1
GO:0051726	regulation of cell cycle	6.43e-06	6.43e-06	1	BRCA1,ATRX,MECOM,MAP3K1,EP300,STAG2,SMC3,APC,TP53,EGFR,CDKN2A,ATM,BAP1,PTEN,MTOR
GO:0045786	negative regulation of cell cycle	3.54e-03	3.54e-03	1	BRCA1,STAG2,SMC3,APC,TP53,CDKN2A,ATM,PTEN,MTOR
GO:0010564	regulation of cell cycle process	6.82e-04	6.82e-04	1	BRCA1,ATRX,STAG2,SMC3,APC,TP53,EGFR,CDKN2A,ATM,PTEN
GO:0010948	negative regulation of cell cycle process	3.75e-03	3.75e-03	1	BRCA1,STAG2,SMC3,APC,TP53,ATM,PTEN
GO:0045787	positive regulation of cell cycle	1.47e-02	1.47e-02	1	BRCA1,ATRX,TP53,EGFR,CDKN2A,ATM,PTEN
GO:0090068	positive regulation of cell cycle process	3.50e-02	3.50e-02	1	BRCA1,ATRX,TP53,CDKN2A,ATM,PTEN
GO:0007050	cell cycle arrest	4.20e-02	4.20e-02	1	BRCA1,APC,TP53,CDKN2A,ATM,MTOR
GO:0045859	regulation of protein kinase activity	9.36e-04	9.36e-04	1	FGFR3,MAP3K1,PPP2R1A,PDGFRA,APC,EGFR,CDKN2A,CDK12,PTEN,ERBB4,LRRK2,NF1
GO:0071900	regulation of protein serine/threonine kinase activity	1.99e-04	1.99e-04	1	FGFR3,PPP2R1A,PDGFRA,APC,EGFR,CDKN2A,CDK12,PTEN,ERBB4,LRRK2,NF1
GO:0071901	negative regulation of protein serine/threonine kinase activity	9.56e-03	9.56e-03	1	PPP2R1A,APC,CDKN2A,PTEN,NF1
GO:0043405	regulation of MAP kinase activity	1.82e-02	1.82e-02	1	FGFR3,PPP2R1A,PDGFRA,EGFR,CDK12,ERBB4,LRRK2,NF1
GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	3.76e-02	3.76e-02	1	APC,CDKN2A,PTEN
GO:0000186	activation of MAPKK activity	4.42e-02	4.42e-02	1	FGFR3,PDGFRA,EGFR,ERBB4,LRRK2,NF1
GO:0060548	negative regulation of cell death	1.01e-02	1.01e-02	1	BRCA1,MECOM,NFE2L2,PIK3CA,VHL,TP53,EGFR,NOTCH1,ERBB4,LRRK2
GO:0043069	negative regulation of programmed cell death	5.46e-03	5.46e-03	1	BRCA1,MECOM,NFE2L2,PIK3CA,VHL,TP53,EGFR,NOTCH1,ERBB4,LRRK2
GO:0043066	negative regulation of apoptotic process	3.64e-02	3.64e-02	1	BRCA1,NFE2L2,PIK3CA,VHL,TP53,EGFR,NOTCH1,ERBB4,LRRK2
GO:0040012	regulation of locomotion	3.31e-02	3.31e-02	1	PDGFRA,APC,ACVR1B,EGFR,NOTCH1,PTEN,ERBB4,LRRK2,NF1
GO:0071495	cellular response to endogenous stimulus	2.64e-03	2.64e-03	1	BRCA1,FGFR3,PPP2R1A,PIK3CA,USP9X,PDGFRA,EGFR,NOTCH1,PTEN,ERBB4,LRRK2,NF1,MTOR
GO:1901698	response to nitrogen compound	1.78e-02	1.78e-02	1	BRCA1,FGFR3,ATRX,PIK3CA,PDGFRA,EGFR,ERBB4,LRRK2,NF1,MTOR
GO:0010243	response to organonitrogen compound	4.76e-02	4.76e-02	1	BRCA1,FGFR3,PIK3CA,PDGFRA,EGFR,ERBB4,LRRK2,NF1,MTOR
GO:1901699	cellular response to nitrogen compound	4.20e-03	4.20e-03	1	BRCA1,FGFR3,ATRX,PIK3CA,PDGFRA,EGFR,ERBB4,LRRK2,NF1,MTOR
GO:0070848	response to growth factor	9.86e-03	9.86e-03	1	FGFR3,PPP2R1A,PIK3CA,USP9X,PDGFRA,EGFR,NOTCH1,PTEN,ERBB4,NF1,MTOR
GO:0071363	cellular response to growth factor stimulus	8.81e-03	8.81e-03	1	FGFR3,PPP2R1A,PIK3CA,USP9X,PDGFRA,EGFR,NOTCH1,PTEN,ERBB4,NF1,MTOR
GO:0071774	response to fibroblast growth factor	2.86e-04	2.86e-04	1	FGFR3,PPP2R1A,PIK3CA,PDGFRA,EGFR,PTEN,ERBB4,NF1,MTOR
GO:0044344	cellular response to fibroblast growth factor stimulus	2.71e-04	2.71e-04	1	FGFR3,PPP2R1A,PIK3CA,PDGFRA,EGFR,PTEN,ERBB4,NF1,MTOR
GO:0071417	cellular response to organonitrogen compound	1.72e-02	1.72e-02	1	BRCA1,FGFR3,PIK3CA,PDGFRA,EGFR,ERBB4,LRRK2,NF1,MTOR
GO:0038179	neurotrophin signaling pathway	1.99e-02	1.99e-02	1	FGFR3,PIK3CA,PDGFRA,EGFR,PTEN,ERBB4,NF1,MTOR
GO:0048011	neurotrophin TRK receptor signaling pathway	1.92e-02	1.92e-02	1	FGFR3,PIK3CA,PDGFRA,EGFR,PTEN,ERBB4,NF1,MTOR
GO:0008543	fibroblast growth factor receptor signaling pathway	1.90e-04	1.90e-04	1	FGFR3,PPP2R1A,PIK3CA,PDGFRA,EGFR,PTEN,ERBB4,NF1,MTOR
GO:0000904	cell morphogenesis involved in differentiation	1.70e-02	1.70e-02	1	FGFR3,EPHB6,USP9X,PDGFRA,EGFR,NOTCH1,ARHGAP35,PTEN,ERBB4,LRRK2,NF1
GO:0048667	cell morphogenesis involved in neuron differentiation	1.60e-02	1.60e-02	1	FGFR3,EPHB6,USP9X,PDGFRA,EGFR,ARHGAP35,PTEN,ERBB4,LRRK2,NF1
GO:0009628	response to abiotic stimulus	4.36e-03	4.36e-03	1	BRCA1,MAP3K1,EP300,VHL,TP53,EGFR,NOTCH1,ATM,ATR,NF1,MTOR
GO:0070482	response to oxygen levels	4.17e-03	4.17e-03	1	EP300,VHL,TP53,NOTCH1,NF1,MTOR
GO:0036293	response to decreased oxygen levels	3.55e-03	3.55e-03	1	EP300,VHL,TP53,NOTCH1,NF1,MTOR
GO:0071453	cellular response to oxygen levels	9.08e-03	9.08e-03	1	EP300,VHL,TP53,NOTCH1,MTOR
GO:0036294	cellular response to decreased oxygen levels	7.37e-03	7.37e-03	1	EP300,VHL,TP53,NOTCH1,MTOR
GO:0001666	response to hypoxia	3.14e-03	3.14e-03	1	EP300,VHL,TP53,NOTCH1,NF1,MTOR
GO:0071456	cellular response to hypoxia	6.26e-03	6.26e-03	1	EP300,VHL,TP53,NOTCH1,MTOR
GO:0010648	negative regulation of cell communication	6.94e-04	6.94e-04	1	BRCA1,MECOM,PPP2R1A,NFE2L2,APC,EGFR,NOTCH1,ATM,ASXL1,PTEN,LRRK2,NF1,MTOR
GO:0023057	negative regulation of signaling	4.20e-03	4.20e-03	1	BRCA1,MECOM,PPP2R1A,NFE2L2,APC,EGFR,NOTCH1,ATM,ASXL1,PTEN,LRRK2,NF1
GO:0009968	negative regulation of signal transduction	2.55e-03	2.55e-03	1	BRCA1,MECOM,PPP2R1A,NFE2L2,APC,EGFR,NOTCH1,ATM,ASXL1,PTEN,LRRK2,NF1
GO:0009894	regulation of catabolic process	4.11e-02	4.11e-02	1	NFE2L2,APC,EGFR,TAF1,CDKN2A,ATM,PTEN,LRRK2,MTOR
GO:0042176	regulation of protein catabolic process	5.90e-03	5.90e-03	1	NFE2L2,APC,EGFR,TAF1,CDKN2A,ATM,PTEN,LRRK2
GO:1903362	regulation of cellular protein catabolic process	6.59e-03	6.59e-03	1	NFE2L2,APC,TAF1,CDKN2A,ATM,PTEN,LRRK2
GO:0009895	negative regulation of catabolic process	1.78e-02	1.78e-02	1	APC,EGFR,CDKN2A,ATM,LRRK2,MTOR
GO:1903050	regulation of proteolysis involved in cellular protein catabolic process	4.22e-03	4.22e-03	1	NFE2L2,APC,TAF1,CDKN2A,ATM,PTEN,LRRK2
GO:0061136	regulation of proteasomal protein catabolic process	1.04e-02	1.04e-02	1	NFE2L2,APC,TAF1,ATM,PTEN,LRRK2
GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	3.70e-03	3.70e-03	1	NFE2L2,APC,TAF1,ATM,PTEN,LRRK2
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	4.87e-02	4.87e-02	1	NFE2L2,TAF1,PTEN,LRRK2
GO:0007610	behavior	3.59e-02	3.59e-02	1	PDGFRA,TP53,EGFR,NOTCH1,PTEN,LRRK2,NF1
GO:0009725	response to hormone	8.28e-03	8.28e-03	1	BRCA1,FGFR3,EP300,PIK3CA,PDGFRA,EGFR,NOTCH1,ERBB4,NF1,MTOR
GO:1903827	regulation of cellular protein localization	4.31e-02	4.31e-02	1	APC,TP53,EGFR,CDKN2A,BAP1,ERBB4,LRRK2,NF1
GO:0023014	signal transduction by protein phosphorylation	4.06e-02	4.06e-02	1	FGFR3,MECOM,MAP3K1,PPP2R1A,PDGFRA,EGFR,CDK12,ERBB4,LRRK2,NF1
GO:0033365	protein localization to organelle	6.49e-03	6.49e-03	1	ATRX,RPL5,BRCA2,TP53,EGFR,CDKN2A,BAP1,ATR,ERBB4,LRRK2,NF1
GO:0072594	establishment of protein localization to organelle	3.36e-02	3.36e-02	1	RPL5,BRCA2,TP53,EGFR,CDKN2A,BAP1,ERBB4,LRRK2,NF1
GO:0031400	negative regulation of protein modification process	1.77e-02	1.77e-02	1	BRCA1,MECOM,PPP2R1A,APC,CDKN2A,ATM,PTEN,LRRK2,NF1
GO:0042326	negative regulation of phosphorylation	3.73e-02	3.73e-02	1	MECOM,PPP2R1A,APC,CDKN2A,PTEN,LRRK2,NF1
GO:0001933	negative regulation of protein phosphorylation	2.17e-02	2.17e-02	1	MECOM,PPP2R1A,APC,CDKN2A,PTEN,LRRK2,NF1
GO:0008213	protein alkylation	1.28e-02	1.28e-02	1	BRCA1,KDM6A,NSD1,TET2,SETD2
GO:0032259	methylation	3.64e-03	3.64e-03	1	BRCA1,ATRX,DNMT3A,KDM6A,NSD1,TET2,SETD2
GO:0043414	macromolecule methylation	1.95e-03	1.95e-03	1	BRCA1,ATRX,DNMT3A,KDM6A,NSD1,TET2,SETD2
GO:0006479	protein methylation	1.28e-02	1.28e-02	1	BRCA1,KDM6A,NSD1,TET2,SETD2
GO:0051276	chromosome organization	4.05e-15	4.05e-15	1	BRCA1,ATRX,MECOM,EP300,STAG2,SMC3,ARID1A,DNMT3A,KDM5C,APC,BRCA2,TP53,KDM6A,TAF1,CDKN2A,ATM,BAP1,PBRM1,NSD1,TET2,ASXL1,PTEN,ATR,SETD2
GO:0006325	chromatin organization	2.32e-11	2.32e-11	1	BRCA1,ATRX,MECOM,EP300,ARID1A,DNMT3A,KDM5C,BRCA2,TP53,KDM6A,TAF1,CDKN2A,BAP1,PBRM1,NSD1,TET2,ASXL1,SETD2
GO:0016568	chromatin modification	5.68e-11	5.68e-11	1	BRCA1,ATRX,EP300,ARID1A,KDM5C,BRCA2,TP53,KDM6A,TAF1,CDKN2A,BAP1,PBRM1,NSD1,TET2,ASXL1,SETD2
GO:0016569	covalent chromatin modification	2.26e-07	2.26e-07	1	BRCA1,EP300,KDM5C,BRCA2,TP53,KDM6A,TAF1,BAP1,NSD1,TET2,ASXL1,SETD2
GO:0016570	histone modification	1.46e-07	1.46e-07	1	BRCA1,EP300,KDM5C,BRCA2,TP53,KDM6A,TAF1,BAP1,NSD1,TET2,ASXL1,SETD2
GO:0016571	histone methylation	3.93e-03	3.93e-03	1	BRCA1,KDM6A,NSD1,TET2,SETD2
GO:0033043	regulation of organelle organization	6.76e-04	6.76e-04	1	BRCA1,ATRX,PDGFRA,APC,TP53,CDKN2A,ATM,BAP1,NSD1,PTEN,ATR,LRRK2,MTOR
GO:0033044	regulation of chromosome organization	3.40e-04	3.40e-04	1	BRCA1,ATRX,APC,TP53,ATM,NSD1,PTEN,ATR
GO:2001252	positive regulation of chromosome organization	1.09e-03	1.09e-03	1	BRCA1,ATRX,TP53,ATM,PTEN,ATR
GO:0018205	peptidyl-lysine modification	1.69e-06	1.69e-06	1	BRCA1,EP300,STAG2,SMC3,BRCA2,KDM6A,TAF1,CDKN2A,NSD1,TET2,SETD2
GO:0018022	peptidyl-lysine methylation	1.90e-03	1.90e-03	1	BRCA1,KDM6A,NSD1,TET2,SETD2
GO:0034968	histone lysine methylation	9.53e-04	9.53e-04	1	BRCA1,KDM6A,NSD1,TET2,SETD2
GO:0040007	growth	7.25e-05	7.25e-05	1	FGFR3,PPP2R1A,USP9X,ACVR1B,TP53,CDKN2A,NOTCH1,BAP1,PTEN,ERBB4,MTOR
GO:0040008	regulation of growth	7.76e-04	7.76e-04	1	FGFR3,PPP2R1A,ACVR1B,TP53,CDKN2A,NOTCH1,BAP1,PTEN,ERBB4
GO:0045926	negative regulation of growth	7.34e-03	7.34e-03	1	FGFR3,PPP2R1A,ACVR1B,TP53,CDKN2A,PTEN
GO:1901701	cellular response to oxygen-containing compound	4.99e-02	4.99e-02	1	BRCA1,FGFR3,NFE2L2,PIK3CA,PDGFRA,EGFR,ERBB4,LRRK2,NF1,MTOR
GO:0046777	protein autophosphorylation	8.25e-09	8.25e-09	1	FGFR3,PDGFRA,ACVR1B,EGFR,TAF1,ATM,CDK12,ATR,ERBB4,LRRK2,MTOR
GO:1902679	negative regulation of RNA biosynthetic process	4.39e-04	4.39e-04	1	BRCA1,ATRX,MECOM,EP300,TSHZ3,USP9X,KDM5C,VHL,TP53,CDKN2A,NOTCH1,ARHGAP35,NSD1,ASXL1
GO:1903507	negative regulation of nucleic acid-templated transcription	3.64e-04	3.64e-04	1	BRCA1,ATRX,MECOM,EP300,TSHZ3,USP9X,KDM5C,VHL,TP53,CDKN2A,NOTCH1,ARHGAP35,NSD1,ASXL1
GO:0045892	negative regulation of transcription, DNA-templated	2.11e-04	2.11e-04	1	BRCA1,ATRX,MECOM,EP300,TSHZ3,USP9X,KDM5C,VHL,TP53,CDKN2A,NOTCH1,ARHGAP35,NSD1,ASXL1
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	1.22e-02	1.22e-02	1	ATRX,EP300,USP9X,VHL,TP53,NOTCH1,ARHGAP35,NSD1,ASXL1
KEGG:05220	Chronic myeloid leukemia	2.97e-02	2.97e-02	1	MECOM,PIK3CA,TP53,CDKN2A
KEGG:05223	Non-small cell lung cancer	1.09e-02	1.09e-02	1	PIK3CA,TP53,EGFR,CDKN2A
KEGG:05218	Melanoma	8.02e-05	8.02e-05	1	PIK3CA,PDGFRA,TP53,EGFR,CDKN2A,PTEN
KEGG:04115	p53 signaling pathway	1.33e-03	1.33e-03	1	TP53,CDKN2A,ATM,PTEN,ATR
KEGG:05200	Pathways in cancer	1.79e-06	1.79e-06	1	FGFR3,MECOM,EP300,PIK3CA,VHL,PDGFRA,APC,BRCA2,TP53,EGFR,CDKN2A,PTEN,MTOR
KEGG:05206	MicroRNAs in cancer	4.60e-10	4.60e-10	1	BRCA1,FGFR3,EP300,DNMT3A,PIK3CA,PDGFRA,APC,TP53,EGFR,CDKN2A,NOTCH1,ATM,PTEN,MTOR
KEGG:05213	Endometrial cancer	3.61e-04	3.61e-04	1	PIK3CA,APC,TP53,EGFR,PTEN
KEGG:05219	Bladder cancer	2.95e-03	2.95e-03	1	FGFR3,TP53,EGFR,CDKN2A
KEGG:04110	Cell cycle	1.36e-04	1.36e-04	1	EP300,STAG2,SMC3,TP53,CDKN2A,ATM,ATR
KEGG:04151	PI3K-Akt signaling pathway	2.14e-03	2.14e-03	1	BRCA1,FGFR3,PPP2R1A,PIK3CA,PDGFRA,TP53,EGFR,PTEN,MTOR
KEGG:05166	HTLV-I infection	2.18e-04	2.18e-04	1	MAP3K1,EP300,PIK3CA,PDGFRA,APC,TP53,CDKN2A,ATM,ATR
KEGG:05161	Hepatitis B	4.77e-02	4.77e-02	1	MAP3K1,EP300,PIK3CA,TP53,PTEN
KEGG:04919	Thyroid hormone signaling pathway	1.81e-02	1.81e-02	1	EP300,PIK3CA,TP53,NOTCH1,MTOR
KEGG:04010	MAPK signaling pathway	1.41e-02	1.41e-02	1	FGFR3,MECOM,MAP3K1,PDGFRA,TP53,EGFR,NF1
KEGG:04068	FoxO signaling pathway	3.12e-02	3.12e-02	1	EP300,PIK3CA,EGFR,ATM,PTEN
KEGG:05230	Central carbon metabolism in cancer	2.14e-06	2.14e-06	1	FGFR3,PIK3CA,PDGFRA,TP53,EGFR,PTEN,MTOR
KEGG:05212	Pancreatic cancer	1.15e-03	1.15e-03	1	PIK3CA,BRCA2,TP53,EGFR,CDKN2A
KEGG:04810	Regulation of actin cytoskeleton	4.00e-02	4.00e-02	1	FGFR3,PIK3CA,PDGFRA,APC,EGFR,ARHGAP35
KEGG:04066	HIF-1 signaling pathway	9.60e-03	9.60e-03	1	EP300,PIK3CA,VHL,EGFR,MTOR
KEGG:05214	Glioma	1.73e-06	1.73e-06	1	PIK3CA,PDGFRA,TP53,EGFR,CDKN2A,PTEN,MTOR
KEGG:05215	Prostate cancer	1.52e-05	1.52e-05	1	EP300,PIK3CA,PDGFRA,TP53,EGFR,PTEN,MTOR
REAC:1266738	Developmental Biology	3.87e-02	3.87e-02	1	FGFR3,EP300,PPP2R1A,EPHB6,PDGFRA,ACVR1B,EGFR,KDM6A,NOTCH1,ARHGAP35,ERBB4,NF1
REAC:5693554	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	4.34e-02	4.34e-02	1	BRCA1,BRCA2,ATM
