GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0050730	regulation of peptidyl-tyrosine phosphorylation	2.17e-04	2.17e-04	1	IGF1,HGF,FGFR3,IL11,ABL1,SFRP1,CAV1,GHR,ERRFI1,LIF,AGT,FGF7,APP,SFRP2,ADRA2A,ANGPT1,KIT,ITGA5,GREM1,IGF2,SOCS5,CSPG4
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	2.60e-03	2.60e-03	1	IGF1,HGF,FGFR3,IL11,ABL1,GHR,LIF,AGT,FGF7,ADRA2A,ANGPT1,KIT,ITGA5,GREM1,IGF2,CSPG4
GO:0048009	insulin-like growth factor receptor signaling pathway	5.11e-05	5.11e-05	1	IGF1,GHR,IGFBP5,BMP2,CILP,IGFBP4,CRIM1,IGFBP6,IRS1
GO:0043567	regulation of insulin-like growth factor receptor signaling pathway	1.26e-03	1.26e-03	1	IGF1,IGFBP5,BMP2,CILP,IGFBP4,IGFBP6
GO:0043569	negative regulation of insulin-like growth factor receptor signaling pathway	1.01e-02	1.01e-02	1	IGFBP5,BMP2,CILP
GO:0097696	STAT cascade	3.63e-04	3.63e-04	1	DCN,IGF1,FGFR3,CAV1,ASPN,GHR,PKD2,LIF,LRRC4B,PODNL1,AGT,CYP1B1,LRRC4C,KIT,IRS1,SOCS5,LRRC15,PODN,F2R,BGN,FLRT2
GO:1904892	regulation of STAT cascade	1.41e-04	1.41e-04	1	DCN,IGF1,FGFR3,CAV1,ASPN,GHR,LIF,LRRC4B,PODNL1,AGT,CYP1B1,LRRC4C,KIT,SOCS5,LRRC15,PODN,F2R,BGN,FLRT2
GO:0007259	JAK-STAT cascade	3.63e-04	3.63e-04	1	DCN,IGF1,FGFR3,CAV1,ASPN,GHR,PKD2,LIF,LRRC4B,PODNL1,AGT,CYP1B1,LRRC4C,KIT,IRS1,SOCS5,LRRC15,PODN,F2R,BGN,FLRT2
GO:0046425	regulation of JAK-STAT cascade	1.41e-04	1.41e-04	1	DCN,IGF1,FGFR3,CAV1,ASPN,GHR,LIF,LRRC4B,PODNL1,AGT,CYP1B1,LRRC4C,KIT,SOCS5,LRRC15,PODN,F2R,BGN,FLRT2
GO:1902532	negative regulation of intracellular signal transduction	6.71e-04	6.71e-04	1	DCN,SNAI2,RASAL2,FBLN1,C1QTNF3,CAV1,ASPN,CXCL12,RGS4,PKD2,DUSP1,TWIST1,SNAI1,BMP4,SH3BP4,LRRC4B,PODNL1,SPRY2,THBS1,EPHA2,SLIT2,SFRP2,LRRC4C,CREB3L1,SPRY1,DLC1,DACT1,SPRED1,SOCS5,LRRC15,PODN,MYADM,BGN,FLRT2,RASA3,STMN3,SPRED2
GO:1904893	negative regulation of STAT cascade	4.11e-05	4.11e-05	1	DCN,CAV1,ASPN,LRRC4B,PODNL1,LRRC4C,SOCS5,LRRC15,PODN,BGN,FLRT2
GO:0046426	negative regulation of JAK-STAT cascade	4.11e-05	4.11e-05	1	DCN,CAV1,ASPN,LRRC4B,PODNL1,LRRC4C,SOCS5,LRRC15,PODN,BGN,FLRT2
GO:0034762	regulation of transmembrane transport	3.73e-02	3.73e-02	1	NEDD4,CACNG4,JPH4,CAV1,CXCL12,PDE4D,PDGFRB,PKD2,PLCG1,ATP1B2,DPP6,DLG4,AGT,THBS1,JPH2,ADRA2A,CACNA1C,THY1,KCNAB1,NLGN2,F2R,DAPK1,PLN
GO:0034765	regulation of ion transmembrane transport	1.98e-02	1.98e-02	1	NEDD4,CACNG4,JPH4,CAV1,CXCL12,PDE4D,PDGFRB,PKD2,PLCG1,ATP1B2,DPP6,DLG4,AGT,THBS1,JPH2,ADRA2A,CACNA1C,THY1,KCNAB1,NLGN2,F2R,DAPK1,PLN
GO:0070509	calcium ion import	1.28e-02	1.28e-02	1	CACNA1G,JPH4,CXCL12,PDE4D,PDGFRB,PKD2,PLCG1,CCL21,JPH2,CACNA1C,THY1,F2R,CACNA1H,PLN
GO:0090279	regulation of calcium ion import	1.39e-02	1.39e-02	1	JPH4,CXCL12,PDE4D,PDGFRB,PKD2,PLCG1,JPH2,CACNA1C,THY1,F2R,PLN
GO:0090280	positive regulation of calcium ion import	3.57e-02	3.57e-02	1	CXCL12,PDGFRB,PKD2,PLCG1,JPH2,THY1,F2R
GO:0019934	cGMP-mediated signaling	4.98e-02	4.98e-02	1	CD36,THBS1,PDE2A
GO:0038065	collagen-activated signaling pathway	4.19e-03	4.19e-03	1	ITGA11,DDR2,ITGA2
GO:0036065	fucosylation	1.50e-02	1.50e-02	1	ADAMTS7,THBS1,ADAMTSL4,ADAMTS5,ADAMTSL1
GO:0036066	protein O-linked fucosylation	1.11e-03	1.11e-03	1	ADAMTS7,THBS1,ADAMTSL4,ADAMTS5,ADAMTSL1
GO:0071526	semaphorin-plexin signaling pathway	1.36e-02	1.36e-02	1	SEMA3C,SEMA6A,SEMA5A,NRP2,SEMA3D,HAND2,SEMA6B
GO:0072089	stem cell proliferation	1.54e-04	1.54e-04	1	FBLN1,CHRD,BMP4,BMP2,NES,WNT2B,FGF7,SFRP2,HMGA2,RUNX1,TGFBR2,SIX2,CD34,SOX11
GO:0010463	mesenchymal cell proliferation	2.49e-02	2.49e-02	1	CHRD,BMP4,BMP2,FGF7,TGFBR2
GO:0071425	hematopoietic stem cell proliferation	3.81e-02	3.81e-02	1	WNT2B,SFRP2,RUNX1,CD34
GO:0003158	endothelium development	5.10e-03	5.10e-03	1	PDE4D,FOXP1,BMP4,KDR,RHOB,ADAMTS12,HEY1,CD34,CDH5,MYADM,CLDN5,PDE2A
GO:0070371	ERK1 and ERK2 cascade	2.40e-04	2.40e-04	1	IGF1,FLT4,FGFR3,FBLN1,FGF1,PDGFRB,FN1,CTGF,TEK,BMP2,KDR,PDGFRA,CD36,SPRY2,CCL21,SEMA7A,EPHA2,CYR61,ANGPT1,SPRY1,NPNT,PDGFD,F2R,PLA2G2A,CCL14
GO:0070372	regulation of ERK1 and ERK2 cascade	2.75e-04	2.75e-04	1	FLT4,FGFR3,FBLN1,FGF1,PDGFRB,FN1,CTGF,TEK,BMP2,KDR,PDGFRA,CD36,SPRY2,CCL21,SEMA7A,EPHA2,CYR61,ANGPT1,SPRY1,NPNT,PDGFD,F2R,PLA2G2A,CCL14
GO:0043410	positive regulation of MAPK cascade	1.93e-03	1.93e-03	1	FYN,IGF1,FLT4,NGFR,FGFR3,RASAL2,IL11,GADD45B,GHR,RASGRF2,FGF1,PDGFRB,CTGF,TEK,PLCG1,BMP4,BMP2,KDR,LIF,SHC2,EDA2R,DLG4,KRAS,PDGFRA,CD36,SPRY2,CCL21,THBS1,SEMA7A,FGF7,IL17RD,NTRK2,ADRA2A,ANGPT1,FZD7,KIT,SPRED1,IGF2,NPNT,IRS1,PDGFD,F2R,RASA3,PLA2G2A,LPAR1,CCL14
GO:0070374	positive regulation of ERK1 and ERK2 cascade	9.15e-04	9.15e-04	1	FLT4,FGFR3,FGF1,PDGFRB,CTGF,TEK,BMP2,KDR,PDGFRA,CD36,SPRY2,CCL21,SEMA7A,ANGPT1,NPNT,PDGFD,F2R,PLA2G2A,CCL14
GO:0071229	cellular response to acid chemical	2.26e-02	2.26e-02	1	EPHA3,SFRP1,PTK7,TNFSF4,PKD2,PTGER2,SH3BP4,PID1,FZD7,CAPN2,GNG2,AQP1
GO:1901654	response to ketone	2.13e-06	2.13e-06	1	SFRP1,CAV1,GHR,TNFSF4,TGFB3,PTGER2,CCL21,THBS1,SLIT2,SLIT3,GNG2,AQP1
GO:1901655	cellular response to ketone	3.86e-02	3.86e-02	1	SFRP1,TNFSF4,PTGER2,GNG2,AQP1
GO:0033993	response to lipid	2.51e-02	2.51e-02	1	SNAI2,EPHA3,NGFR,PPAP2A,NEDD4,SFRP1,CAV1,SERPINE1,PTK7,GHR,FOXP1,TNFSF4,TCF21,TGFB3,TNFRSF8,PMEPA1,BMP4,PTGER2,SMO,CD36,CCL21,THBS1,TGFB1I1,SLIT2,DAB2,BMP6,PID1,FZD7,TGFBR2,HEYL,TNFRSF10D,SELP,F2R,SLIT3,GNG2,KANK2,AQP1
GO:0070542	response to fatty acid	1.41e-03	1.41e-03	1	SFRP1,TNFSF4,PTGER2,CD36,CCL21,PID1,GNG2
GO:0034694	response to prostaglandin	4.21e-03	4.21e-03	1	SFRP1,TNFSF4,PTGER2,CCL21,GNG2
GO:0034695	response to prostaglandin E	1.11e-03	1.11e-03	1	SFRP1,TNFSF4,PTGER2,CCL21,GNG2
GO:0032570	response to progesterone	4.98e-02	4.98e-02	1	CAV1,TGFB3,THBS1
GO:0071398	cellular response to fatty acid	1.50e-02	1.50e-02	1	SFRP1,TNFSF4,PTGER2,PID1,GNG2
GO:0071379	cellular response to prostaglandin stimulus	9.51e-03	9.51e-03	1	SFRP1,TNFSF4,PTGER2,GNG2
GO:0071380	cellular response to prostaglandin E stimulus	1.81e-03	1.81e-03	1	SFRP1,TNFSF4,PTGER2,GNG2
GO:0035988	chondrocyte proliferation	5.96e-03	5.96e-03	1	FGFR3,HMGA2,DDR2,SIX2
GO:1904406	negative regulation of nitric oxide metabolic process	3.24e-02	3.24e-02	1	CAV1,PTGIS,CD34
GO:0045019	negative regulation of nitric oxide biosynthetic process	3.24e-02	3.24e-02	1	CAV1,PTGIS,CD34
GO:2000811	negative regulation of anoikis	4.98e-02	4.98e-02	1	SNAI2,CAV1,ITGB1,ITGA5
GO:0048008	platelet-derived growth factor receptor signaling pathway	5.13e-06	5.13e-06	1	BCAR1,ABL1,PDGFRL,PDGFRB,F3,LRP1,PDGFRA,PTGIR,PDGFD,APOD
GO:0035791	platelet-derived growth factor receptor-beta signaling pathway	5.96e-03	5.96e-03	1	ABL1,PDGFRL,PDGFRB,LRP1
GO:0010640	regulation of platelet-derived growth factor receptor signaling pathway	1.43e-02	1.43e-02	1	F3,LRP1,PTGIR,APOD
GO:0035728	response to hepatocyte growth factor	1.93e-02	1.93e-02	1	HGF,BCAR1,ADAMTS12
GO:0035729	cellular response to hepatocyte growth factor stimulus	1.93e-02	1.93e-02	1	HGF,BCAR1,ADAMTS12
GO:0060765	regulation of androgen receptor signaling pathway	3.86e-02	3.86e-02	1	SFRP1,FOXP1,TCF21,DAB2,HEYL
GO:0033144	negative regulation of intracellular steroid hormone receptor signaling pathway	2.30e-02	2.30e-02	1	SFRP1,FOXP1,TCF21,DAB2,HEYL,KANK2
GO:0060766	negative regulation of androgen receptor signaling pathway	1.82e-03	1.82e-03	1	SFRP1,FOXP1,TCF21,DAB2,HEYL
GO:0048771	tissue remodeling	2.90e-02	2.90e-02	1	FLT4,SFRP1,CAV1,TGFB3,AGT,EPHA2,GREM1,S1PR1,F2R
GO:0042063	gliogenesis	4.51e-03	4.51e-03	1	VCAN,GPC1,LAMB1,CDK6,RTN4,SOX4,BMP2,PRDM8,SKI,MXRA8,SOX11,NOG
GO:0010001	glial cell differentiation	2.28e-02	2.28e-02	1	GPC1,CDK6,SOX4,BMP2,PRDM8,SKI,MXRA8,SOX11,NOG
GO:0021782	glial cell development	2.30e-02	2.30e-02	1	CDK6,SOX4,PRDM8,SKI,MXRA8,SOX11
GO:0050808	synapse organization	3.63e-05	3.63e-05	1	PCDHB4,NRCAM,SRPX2,SPOCK2,PCDHB6,PDZRN3,LRRC4B,DLG4,LRP4,SDK1,NLGN4X,FARP1,PTPRD,NLGN2,F2R,ROBO2,ARHGEF15,ELFN1
GO:0001941	postsynaptic membrane organization	4.98e-02	4.98e-02	1	DLG4,LRP4,NLGN4X,NLGN2
GO:0097090	presynaptic membrane organization	2.05e-02	2.05e-02	1	LRP4,NLGN4X,PTPRD,NLGN2
GO:0007416	synapse assembly	1.26e-04	1.26e-04	1	PCDHB4,NRCAM,SRPX2,SPOCK2,PCDHB6,LRRC4B,LRP4,SDK1,NLGN4X,FARP1,PTPRD,NLGN2,ROBO2
GO:0097105	presynaptic membrane assembly	9.51e-03	9.51e-03	1	LRP4,NLGN4X,PTPRD,NLGN2
GO:0097104	postsynaptic membrane assembly	4.98e-02	4.98e-02	1	LRP4,NLGN4X,NLGN2
GO:0003013	circulatory system process	1.59e-02	1.59e-02	1	ELN,PCSK5,DMPK,CAV1,CXCL12,PDE4D,TEK,EDN2,ATP1B2,AGT,TPM1,SLIT2,CORIN,CACNA1C,EDNRA,GJA1,ANGPT1,COL1A2,SGCD,HSPB7,CD34,DES,F2R,GJC1,PDE2A,MME,CACNA1H,PLN
GO:0003015	heart process	4.39e-02	4.39e-02	1	DMPK,CAV1,PDE4D,EDN2,ATP1B2,AGT,TPM1,CACNA1C,GJA1,SGCD,HSPB7,DES,GJC1,CACNA1H,PLN
GO:0008015	blood circulation	1.44e-02	1.44e-02	1	ELN,PCSK5,DMPK,CAV1,CXCL12,PDE4D,TEK,EDN2,ATP1B2,AGT,TPM1,SLIT2,CORIN,CACNA1C,EDNRA,GJA1,ANGPT1,COL1A2,SGCD,HSPB7,CD34,DES,F2R,GJC1,PDE2A,MME,CACNA1H,PLN
GO:0060047	heart contraction	3.83e-02	3.83e-02	1	DMPK,CAV1,PDE4D,EDN2,ATP1B2,AGT,TPM1,CACNA1C,GJA1,SGCD,HSPB7,DES,GJC1,CACNA1H,PLN
GO:0008016	regulation of heart contraction	2.15e-02	2.15e-02	1	DMPK,CAV1,PDE4D,EDN2,ATP1B2,AGT,TPM1,CACNA1C,GJA1,HSPB7,DES,GJC1,CACNA1H,PLN
GO:0007389	pattern specification process	1.16e-03	1.16e-03	1	CYP26B1,GLI2,CHRD,PCSK5,SFRP1,MDFI,PKD2,BMP4,BMP2,SMO,WNT2B,NKD1,SFRP2,CRB2,SKI,NBL1,TGFBR2,HAND2,GREM1,SIX2,BASP1,NOG,COL4A1
GO:0003002	regionalization	2.69e-04	2.69e-04	1	CYP26B1,GLI2,CHRD,PCSK5,SFRP1,MDFI,BMP4,BMP2,SMO,WNT2B,NKD1,CRB2,SKI,NBL1,GREM1,SIX2,BASP1,NOG
GO:0009952	anterior/posterior pattern specification	2.28e-02	2.28e-02	1	PCSK5,BMP4,BMP2,NKD1,CRB2,SKI,SIX2,BASP1,NOG
GO:0009953	dorsal/ventral pattern formation	3.57e-02	3.57e-02	1	GLI2,CHRD,SFRP1,MDFI,NBL1,GREM1,NOG
GO:0072507	divalent inorganic cation homeostasis	3.94e-02	3.94e-02	1	JPH4,ABL1,DMPK,CAV1,CXCL12,WFS1,PDE4D,PKD2,PLCG1,EDN2,DLG4,PDGFRA,CD36,CCL21,JPH2,CACNA1C,EDNRA,THY1,CALB2,C1QTNF1,F2R,LPAR1,PLN,TGM2,CCL14
GO:0072503	cellular divalent inorganic cation homeostasis	2.18e-02	2.18e-02	1	JPH4,ABL1,DMPK,CAV1,CXCL12,WFS1,PDE4D,PKD2,PLCG1,EDN2,DLG4,PDGFRA,CD36,CCL21,JPH2,CACNA1C,EDNRA,THY1,CALB2,C1QTNF1,F2R,LPAR1,PLN,TGM2,CCL14
GO:0055074	calcium ion homeostasis	1.28e-02	1.28e-02	1	JPH4,ABL1,DMPK,CAV1,CXCL12,WFS1,PDE4D,PKD2,PLCG1,EDN2,DLG4,PDGFRA,CD36,CCL21,JPH2,CACNA1C,EDNRA,THY1,CALB2,C1QTNF1,F2R,LPAR1,PLN,TGM2,CCL14
GO:0006874	cellular calcium ion homeostasis	8.54e-03	8.54e-03	1	JPH4,ABL1,DMPK,CAV1,CXCL12,WFS1,PDE4D,PKD2,PLCG1,EDN2,DLG4,PDGFRA,CD36,CCL21,JPH2,CACNA1C,EDNRA,THY1,CALB2,C1QTNF1,F2R,LPAR1,PLN,TGM2,CCL14
GO:0051480	regulation of cytosolic calcium ion concentration	4.53e-03	4.53e-03	1	JPH4,ABL1,CAV1,PDE4D,PKD2,PLCG1,EDN2,DLG4,PDGFRA,CD36,CCL21,JPH2,CACNA1C,EDNRA,THY1,CALB2,C1QTNF1,F2R,LPAR1,PLN
GO:0007204	positive regulation of cytosolic calcium ion concentration	9.34e-03	9.34e-03	1	JPH4,ABL1,CAV1,PDE4D,PKD2,PLCG1,EDN2,DLG4,PDGFRA,CD36,CCL21,JPH2,CACNA1C,EDNRA,THY1,C1QTNF1,F2R,LPAR1
GO:1904950	negative regulation of establishment of protein localization	3.28e-04	3.28e-04	1	RHBDF1,SNAI2,GOPC,FBLN1,C1QTNF3,SFRP1,MDFI,FN1,PKD2,SOX4,RAB11FIP5,ADRA2A,PID1,IRS1,LRRC15,CD34,SSC5D,F2R,PDE2A,APOD,DACT3
GO:0051051	negative regulation of transport	2.61e-03	2.61e-03	1	RHBDF1,SNAI2,GOPC,NEDD4,FBLN1,C1QTNF3,IL11,SFRP1,CAV1,SFRP4,MDFI,FN1,PKD2,INHBA,SOX4,LIF,DLG4,RAB11FIP5,AGT,THBS1,ADRA2A,PID1,IRS1,CD34,SSC5D,F2R,PDE2A,APOD,DACT3,ENPP1,PLN
GO:0051224	negative regulation of protein transport	1.35e-03	1.35e-03	1	RHBDF1,SNAI2,GOPC,FBLN1,C1QTNF3,SFRP1,MDFI,FN1,PKD2,SOX4,RAB11FIP5,ADRA2A,IRS1,CD34,SSC5D,F2R,PDE2A,APOD,DACT3
GO:0051048	negative regulation of secretion	6.62e-03	6.62e-03	1	RHBDF1,FBLN1,C1QTNF3,IL11,SFRP1,FN1,INHBA,LIF,RAB11FIP5,ADRA2A,IRS1,CD34,SSC5D,F2R
GO:0009306	protein secretion	3.22e-02	3.22e-02	1	RHBDF1,IGF1,PTPRN,FBLN1,C1QTNF3,PCSK5,SFRP1,RAB11FIP2,FOXP1,FN1,SLC2A1,TNFSF4,LTBP2,TGFB3,TWIST1,ITPR2,SOX4,CD36,RAB11FIP5,ADRA2A,CACNA1C,BMP6,IRS1,NLGN2,SCG2,CD34,SSC5D,F2R
GO:1903531	negative regulation of secretion by cell	2.51e-03	2.51e-03	1	RHBDF1,FBLN1,C1QTNF3,IL11,SFRP1,FN1,INHBA,LIF,RAB11FIP5,ADRA2A,IRS1,CD34,SSC5D,F2R
GO:0050709	negative regulation of protein secretion	3.50e-03	3.50e-03	1	RHBDF1,FBLN1,C1QTNF3,SFRP1,FN1,RAB11FIP5,ADRA2A,IRS1,CD34,SSC5D,F2R
GO:0046888	negative regulation of hormone secretion	3.13e-03	3.13e-03	1	IL11,SFRP1,INHBA,LIF,RAB11FIP5,ADRA2A,IRS1
GO:1904029	regulation of cyclin-dependent protein kinase activity	1.82e-02	1.82e-02	1	DCN,ASPN,CCND1,PKD2,CCND2,LRRC4B,PODNL1,LRRC4C,LATS2,SOCS5,LRRC15,PODN,CDK5R1,BGN,FLRT2
GO:0031400	negative regulation of protein modification process	2.09e-02	2.09e-02	1	DCN,TRIB2,FBLN1,ABL1,SFRP1,CAV1,ASPN,PDE4D,ERRFI1,RGS4,DUSP1,TWIST1,PMEPA1,SOX4,BMP4,LRRC4B,PODNL1,SPOCD1,SPRY2,SYTL2,SLIT2,SFRP2,LRRC4C,LATS2,FARP1,PID1,THY1,SPRY1,DACT1,SPRED1,GREM1,PKIA,SOCS5,LRRC15,PODN,MYADM,BGN,NOG,FLRT2,ENPP1,SPRED2,ELFN1
GO:0010563	negative regulation of phosphorus metabolic process	4.50e-05	4.50e-05	1	DCN,TRIB2,FBLN1,ABL1,SFRP1,CAV1,ASPN,PDE4D,ERRFI1,RGS4,DUSP1,INHBA,TWIST1,PMEPA1,BMP4,LRRC4B,PODNL1,SPOCD1,SPRY2,SYTL2,SLIT2,SFRP2,LRRC4C,LATS2,ADRA2A,FARP1,PID1,THY1,CDA,SPRY1,DACT1,SPRED1,GREM1,PKIA,SOCS5,LRRC15,PODN,MYADM,BGN,NOG,FLRT2,PDE2A,ENPP1,SPRED2,ELFN1
GO:0045936	negative regulation of phosphate metabolic process	4.50e-05	4.50e-05	1	DCN,TRIB2,FBLN1,ABL1,SFRP1,CAV1,ASPN,PDE4D,ERRFI1,RGS4,DUSP1,INHBA,TWIST1,PMEPA1,BMP4,LRRC4B,PODNL1,SPOCD1,SPRY2,SYTL2,SLIT2,SFRP2,LRRC4C,LATS2,ADRA2A,FARP1,PID1,THY1,CDA,SPRY1,DACT1,SPRED1,GREM1,PKIA,SOCS5,LRRC15,PODN,MYADM,BGN,NOG,FLRT2,PDE2A,ENPP1,SPRED2,ELFN1
GO:0042326	negative regulation of phosphorylation	2.10e-05	2.10e-05	1	DCN,TRIB2,FBLN1,ABL1,SFRP1,CAV1,ASPN,PDE4D,ERRFI1,RGS4,DUSP1,INHBA,TWIST1,PMEPA1,BMP4,LRRC4B,PODNL1,SPRY2,SLIT2,SFRP2,LRRC4C,LATS2,PID1,THY1,SPRY1,DACT1,SPRED1,GREM1,PKIA,SOCS5,LRRC15,PODN,MYADM,BGN,NOG,FLRT2,ENPP1,SPRED2
GO:0033673	negative regulation of kinase activity	7.51e-03	7.51e-03	1	DCN,TRIB2,ABL1,CAV1,ASPN,ERRFI1,RGS4,DUSP1,BMP4,LRRC4B,PODNL1,LRRC4C,LATS2,THY1,SPRED1,PKIA,SOCS5,LRRC15,PODN,BGN,FLRT2,SPRED2
GO:0001933	negative regulation of protein phosphorylation	7.40e-06	7.40e-06	1	DCN,TRIB2,FBLN1,ABL1,SFRP1,CAV1,ASPN,PDE4D,ERRFI1,RGS4,DUSP1,TWIST1,PMEPA1,BMP4,LRRC4B,PODNL1,SPRY2,SLIT2,SFRP2,LRRC4C,LATS2,PID1,THY1,SPRY1,DACT1,SPRED1,GREM1,PKIA,SOCS5,LRRC15,PODN,MYADM,BGN,NOG,FLRT2,ENPP1,SPRED2
GO:0006469	negative regulation of protein kinase activity	3.47e-03	3.47e-03	1	DCN,TRIB2,ABL1,CAV1,ASPN,ERRFI1,RGS4,DUSP1,BMP4,LRRC4B,PODNL1,LRRC4C,LATS2,THY1,SPRED1,PKIA,SOCS5,LRRC15,PODN,BGN,FLRT2,SPRED2
GO:1904030	negative regulation of cyclin-dependent protein kinase activity	7.73e-03	7.73e-03	1	DCN,ASPN,LRRC4B,PODNL1,LRRC4C,LATS2,SOCS5,LRRC15,PODN,BGN,FLRT2
