ecoli_protein	b#	RPKM	piechart	archaea	protozoan	bacteria	actinobacteria	bacteroidetes	gammaproteobacteria	deltaproteobacteria	betaproteobacteria	alphaproteobacteria	clostridiales	leuconostocaceae	lactobacillaceae
rplF	b3305	958.33	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	334.83	15.25	446.14	20.6	10.16	15.45	0	115.91	0	0
yhbY	b3180	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
rng	b3247	98.45	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	51.41	1.9	40.15	2.7	0	0	0	2.27	0	0
ymfC	b1135	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
rplY	b2185	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
selB	b3590	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
rpmA	b3185	1561.7	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	645.59	0	768.38	51.17	0	0	0	96.57	0	0
rpsQ	b3311	1374.32	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	296.88	31.43	902.16	11.54	0	0	0	132.3	0	0
rnpA	b3704	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
rnr	b4179	64.61	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	13.35	0	47.59	1.2	0	0	1.21	1.25	0	0
cspD	b0880	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
cspC	b1823	13.4	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	13.4	0	0	0	0	0	0	0	0	0
rcsA	b1951	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
hrpA	b1413	5.12	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	4.43	0	0	0.69	0	0	0	0	0	0
ycbY	b0948	42.54	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	7.54	0	32.85	0	0	0	0	2.15	0	0
himD	b0912	76.34	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	76.34	0	0	0	0	0	0	0	0	0
ygdP	b2830	5.18	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	5.18	0	0	0	0	0	0
deaD	b3162	81.28	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	21.16	0	58.58	1.55	0	0	0	0	0	0
srmB	b2576	2.24	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	2.24	0	0	0	0	0	0
rhlB	b3780	7.41	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	7.41	0	0	0	0	0	0	0	0	0
dbpA	b1343	4.13	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	4.13	0	0	0	0	0	0	0
rhlE	b0797	13.73	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	7.4	0	6.33	0	0	0	0	0	0	0
lpxD	b0179	91.99	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	86.89	0	0	2.64	0	2.46	0	0	0	0
yfdH	b2351	14.37	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	2.9	2.76	0	0	0	8.7	0	0
ydiI	b1686	26.52	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	26.52	0	0	0	0	0	0	0
ynbC	b1410	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
hfq	b4172	56.39	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	56.39	0	0	0	0	0	0
yhiR	b3499	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
yccW	b0967	30.47	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	14.42	0	13.82	0	0	0	0	2.23	0	0
yfgB	b2517	84.5	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	10.41	0	38.75	30.42	0	2.32	0	2.6	0	0
yggH	b2960	30.57	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	18.82	0	3.43	0	0	0	0	8.32	0	0
yjiC	b4325	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
yibL	b3602	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ygiQ	b4469	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ymcA	b0984	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ybcJ	b0528	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ygiF	b3054	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ycaO	b0905	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ybjX	b0877	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
yncE	b1452	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
yeeX	b2007	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
yfbU	b2294	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
yggE	b2922	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
yiiU	b3928	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
